file_name,model_name,content_type,predicted_tags,difficulty_level,confidence,notes
Decision Trees Revised.pptx,Qwen3.5-4B,Slides (PowerPoint),Field: Machine Learning | Competency: Decision Tree Modeling,Intermediate (25/49); Beginner (24/49),,Aggregated from 49 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
HandsOn1_Window_Functions.md,Qwen3.5-4B,Markdown lecture,Field: SQL | Competency: Window Functions,Intermediate,,Aggregated from 1 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
Introduction to Pandas_.pptx,Qwen3.5-4B,Slides (PowerPoint),Field: Data Science | Competency: Pandas & Data Wrangling,Beginner (26/28); Intermediate (2/28),,Aggregated from 28 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
Lecture - Decision Trees.ipynb,Qwen3.5-4B,Jupyter Notebook,Field: Machine Learning | Competency: Decision Tree Modeling (3/4); Machine Learning Workflow (1/4),Intermediate,,Aggregated from 4 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
Lecture - Pandas Basics.ipynb,Qwen3.5-4B,Jupyter Notebook,Field: Data Science | Competency: Pandas & Data Wrangling,Beginner,,Aggregated from 11 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
Lecture_ML_Workflow.ipynb,Qwen3.5-4B,Jupyter Notebook,Field: Machine Learning | Competency: Machine Learning Workflow,Intermediate (9/14); Beginner (5/14),,Aggregated from 14 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
ML Workflow Introduction.pptx,Qwen3.5-4B,Slides (PowerPoint),Field: Machine Learning | Competency: Machine Learning Workflow (45/46); Decision Tree Modeling (1/46),Beginner (41/46); Intermediate (5/46),,Aggregated from 46 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
Prompt_Engineering.ipynb,Qwen3.5-4B,Jupyter Notebook,Field: Generative AI (21/22); Machine Learning (1/22) | Competency: Prompt Engineering (21/22); Machine Learning Workflow (1/22),Intermediate (20/22); Beginner (2/22),,Aggregated from 22 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
Retrieval_Augmented_Generation.ipynb,Qwen3.5-4B,Jupyter Notebook,Field: Generative AI | Competency: RAG Systems,Intermediate,,Aggregated from 16 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
SQL_Foundations_for_Data_Science.pptx,Qwen3.5-4B,Slides (PowerPoint),Field: SQL | Competency: SQL Foundations,Beginner (22/25); Intermediate (3/25),,Aggregated from 25 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
WK2_D1_Quiz1_IntroToML_LectureNotebook.xlsx,Qwen3.5-4B,Quiz spreadsheet,Field: Machine Learning | Competency: Machine Learning Workflow (9/10); Python Basics (1/10),Beginner,,Aggregated from 10 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
WK4_D2_Quiz2_EnsembleLearningScenarios_Afternoon.xlsx,Qwen3.5-4B,Quiz spreadsheet,Field: Machine Learning | Competency: Decision Tree Modeling (4/5); Machine Learning Workflow (1/5),Intermediate,,Aggregated from 5 tagged chunk(s) in data/tagged/tagged_chunks_d_full.jsonl
